id	number	name	function	floor	coordX	coordY	radius	doorsX	doorsY	navigationPointConnection	aliases	
61		toaleta mêska	RESTROOM	13	599	1384	30	682	1394	47	toaleta mêska, wc mêskie, ³azienka mêska	4
62	1.6.16	laboratorium 1.6.16	LABORATORY	12	1793	661	50	1709	599	64	bt 1.6.16, 1.6.16 bt, biblioteka techniczna sala 1.6.16, biblioteka techniczna 1.6.16	4
63	1.6.18	laboratorium 1.6.18	LABORATORY	12	1432	661	50	1513	598	64	bt 1.6.18, 1.6.18 bt, biblioteka techniczna sala 1.6.18, biblioteka techniczna 1.6.18	4
64	1.6.19	laboratorium 1.6.19	LABORATORY	12	1142	452	45	1205	408	65	bt 1.6.19, 1.6.19 bt, biblioteka techniczna sala 1.6.19, biblioteka techniczna 1.6.19	4
65	1.6.20	laboratorium 1.6.20	LABORATORY	12	1117	305	60	1205	318	78	bt 1.6.20, 1.6.20 bt, biblioteka techniczna sala 1.6.20, biblioteka techniczna 1.6.20	4
66	1.6.21	laboratorium 1.6.21	LABORATORY	12	1346	305	60	1351	380	68	bt 1.6.21, 1.6.21 bt, biblioteka techniczna sala 1.6.21, biblioteka techniczna 1.6.21	4
67	1.6.22	laboratorium 1.6.22	LABORATORY	12	1531	305	60	1550	380	68	bt 1.6.22, 1.6.22 bt, biblioteka techniczna sala 1.6.22, biblioteka techniczna 1.6.22	4
68	1.6.23	laboratorium 1.6.23	LABORATORY	12	1722	305	60	1747	380	68	bt 1.6.23, 1.6.23 bt, biblioteka techniczna sala 1.6.23, biblioteka techniczna 1.6.23	4
69	108	sala 108	LECTURE	12	900	1989	25	878	1895	79	bt 108, 108 bt, biblioteka techniczna sala 108, biblioteka techniczna 108	4
70	122	sala 122	LECTURE	12	1652	1594	120	1587	1496	60	bt 122, 122 bt, biblioteka techniczna sala 122, biblioteka techniczna 122	4
71	123	sala 123	LECTURE	12	1409	1842	120	1334	1778	60	bt 123, 123 bt, biblioteka techniczna sala 123, biblioteka techniczna 123	4
72	125	sala 125	LECTURE	12	1134	1450	90	1027	1453	66	bt 125, 125 bt, biblioteka techniczna sala 125, biblioteka techniczna 125	4
73	126	sala 126	LECTURE	12	1332	1423	70	1332	1541	60	bt 126, 126 bt, biblioteka techniczna sala 126, biblioteka techniczna 126	4
74	127	sala 127	LECTURE	12	1179	1223	80	1027	1229	66	bt 127, 127 bt, biblioteka techniczna sala 127, biblioteka techniczna 127	4
75	128	sala 128	LECTURE	12	1120	1011	80	1027	1019	66	bt 128, 128 bt, biblioteka techniczna sala 128, biblioteka techniczna 128	4
76		toaleta damska	RESTROOM	12	1308	487	50	1254	471	65	toaleta damska, wc damskie, ³azienka damska	4
77		toaleta mêska	RESTROOM	12	1471	487	50	1533	470	64	toaleta mêska, wc mêskie, ³azienka mêska	4
78		toaleta damska	RESTROOM	12	707	1789	50	864	1743	66	toaleta damska, wc damskie, ³azienka damska	4
79		toaleta mêska	RESTROOM	12	695	1680	50	863	1678	66	toaleta mêska, wc mêskie, ³azienka mêska	4
80		toaleta dla niepe³nosprawnych	RESTROOM	12	808	1714	30	839	1714	66	toaleta dla niepe³nosprawnych, wc dla niepe³nosprawnych, ³azienka dla niepe³nosprawnych	4
81	51	sala 051	LECTURE	11	1109	226	100	982	329	76	bt 051, 051 bt, biblioteka techniczna sala 051, biblioteka techniczna 051	4
82	53	sala 053	LECTURE	11	1627	323	190	1825	481	70	bt 053, 053 bt, biblioteka techniczna sala 053, biblioteka techniczna 053	4
83	21	sala 021	LECTURE	11	1425	1623	90	1351	1536	73	bt 021, 021 bt, biblioteka techniczna sala 021, biblioteka techniczna 021	4
84	22	sala 022	LECTURE	11	1295	1794	50	1205	1734	73	bt 022, 022 bt, biblioteka techniczna sala 022, biblioteka techniczna 022	4
85	23	sala 023	LECTURE	11	797	1857	70	775	1779	77	bt 023, 023 bt, biblioteka techniczna sala 023, biblioteka techniczna 023	4
86	24	sala 024	LECTURE	11	617	1857	40	665	1779	77	bt 024, 024 bt, biblioteka techniczna sala 024, biblioteka techniczna 024	4
87	25	sala 025	LECTURE	11	446	1857	70	446	1779	77	bt 025, 025 bt, biblioteka techniczna sala 025, biblioteka techniczna 025	4
88	27	sala 027	LECTURE	11	1102	1375	80	1000	1379	75	bt 027, 027 bt, biblioteka techniczna sala 027, biblioteka techniczna 027	4
89	28	sala 028	LECTURE	11	1279	1349	65	1277	1455	73	bt 028, 028 bt, biblioteka techniczna sala 028, biblioteka techniczna 028	4
90	29	sala 029	LECTURE	11	1132	1165	75	1000	1169	75	bt 029, 029 bt, biblioteka techniczna sala 029, biblioteka techniczna 029	4
91	210	sala 0210	LECTURE	11	1084	975	75	1000	975	75	bt 0210, 0210 bt, biblioteka techniczna sala 0210, biblioteka techniczna 0210	4
92		toaleta damska	RESTROOM	11	1844	787	30	1868	828	70	toaleta damska, wc damskie, ³azienka damska	4
93		toaleta mêska	RESTROOM	11	1898	944	30	1903	890	70	toaleta mêska, wc mêskie, ³azienka mêska	4
94		toaleta dla niepe³nosprawnych	RESTROOM	11	1826	858	20	1855	861	70	toaleta dla niepe³nosprawnych, wc dla niepe³nosprawnych, ³azienka dla niepe³nosprawnych	4
95		toaleta damska	RESTROOM	11	718	1682	35	853	1643	75	toaleta damska, wc damskie, ³azienka damska	4
96		toaleta mêska	RESTROOM	11	718	1565	35	853	1583	75	toaleta mêska, wc mêskie, ³azienka mêska	4
97		toaleta dla niepe³nosprawnych	RESTROOM	11	800	1615	20	826	1614	75	toaleta dla niepe³nosprawnych, wc dla niepe³nosprawnych, ³azienka dla niepe³nosprawnych	4
98	001A	Sala 001A	LABORATORY	14	1213	2064	60	1131	1964	110	TCh 001A, 001A TCh, technologia chemiczna 001A, technologia chemiczna 001A	5
99	002A	Sala 002A	LABORATORY	14	1391	2038	60	1459	1896	116	TCh 002A, 002A TCh, technologia chemiczna 002A, technologia chemiczna 002A	5
100	003A	Sala 003A	LABORATORY	14	1601	2052	60	1621	1896	116	TCh 003A, 003A TCh, technologia chemiczna 003A, technologia chemiczna 003A	5
101	004A	Sala 004A	LABORATORY	14	1755	2052	20	1755	1896	116	TCh 004A, 004A TCh, technologia chemiczna 004A, technologia chemiczna 004A	5
102	005A	Sala 005A	LABORATORY	14	2017	2052	60	2077	1896	116	TCh 005A, 005A TCh, technologia chemiczna 005A, technologia chemiczna 005A	5
103	006A	Sala 006A	LABORATORY	14	2165	2052	20	2165	1896	116	TCh 006A, 006A TCh, technologia chemiczna 006A, technologia chemiczna 006A	5
104	007A	Sala 007A	LABORATORY	14	2273	2052	20	2273	1896	116	TCh 007A, 007A TCh, technologia chemiczna 007A, technologia chemiczna 007A	5
105	008A	Sala 008A	LABORATORY	14	2371	2052	20	2371	1896	116	TCh 008A, 008A TCh, technologia chemiczna 008A, technologia chemiczna 008A	5
106	009A	Sala 009A	LABORATORY	14	2459	2052	20	2459	1896	116	TCh 009A, 009A TCh, technologia chemiczna 009A, technologia chemiczna 009A	5
107	010A	Sala 010A	LABORATORY	14	2585	2002	30	2536	1952	116	TCh 010A, 010A TCh, technologia chemiczna 010A, technologia chemiczna 010A	5
108	011A	Sala 011A	STAFF	14	1489	1746	20	1489	1820	116	TCh 011A, 011A TCh, technologia chemiczna 011A, technologia chemiczna 011A	5
109	012A	Sala 012A	STAFF	14	2353	1746	20	2353	1820	116	TCh 012A, 012A TCh, technologia chemiczna 012A, technologia chemiczna 012A	5
110	013A	Sala 013A	STAFF	14	2273	1746	20	2273	1820	116	TCh 013A, 013A TCh, technologia chemiczna 013A, technologia chemiczna 013A	5
111	014A	Sala 014A	STAFF	14	2167	1746	20	2167	1820	116	TCh 014A, 014A TCh, technologia chemiczna 014A, technologia chemiczna 014A	5
112	015A	Sala 015A	STAFF	14	2067	1746	20	2067	1820	116	TCh 015A, 015A TCh, technologia chemiczna 015A, technologia chemiczna 015A	5
113	016A	Sala 016A	STAFF	14	1953	1746	20	1953	1820	116	TCh 016A, 016A TCh, technologia chemiczna 016A, technologia chemiczna 016A	5
114	017A	Sala 017A	STAFF	14	1853	1746	20	1853	1820	116	TCh 017A, 017A TCh, technologia chemiczna 017A, technologia chemiczna 017A	5
115	018A	Sala 018A	STAFF	14	1687	1746	40	1751	1820	116	TCh 018A, 018A TCh, technologia chemiczna 018A, technologia chemiczna 018A	5
116	001B	Sala 001B	LABORATORY	14	583	609	50	679	515	117	TCh 001B, 001B TCh, technologia chemiczna 001B, technologia chemiczna 001B	5
117	002B	Sala 002B	LABORATORY	14	779	329	50	843	451	117	TCh 002B, 002B TCh, technologia chemiczna 002B, technologia chemiczna 002B	5
118	003B	Sala 003B	LABORATORY	14	943	312	30	981	451	117	TCh 003B, 003B TCh, technologia chemiczna 003B, technologia chemiczna 003B	5
119	004B	Sala 004B	LABORATORY	14	1317	315	50	1274	451	118	TCh 004B, 004B TCh, technologia chemiczna 004B, technologia chemiczna 004B	5
120	005B	Sala 005B	LABORATORY	14	1505	315	60	1469	451	118	TCh 005B, 005B TCh, technologia chemiczna 005B, technologia chemiczna 005B	5
121	006B	Sala 006B	STAFF	14	1653	315	20	1671	451	118	TCh 006B, 006B TCh, technologia chemiczna 006B, technologia chemiczna 006B	5
122	007B	Sala 007B	STAFF	14	1803	315	20	1881	451	118	TCh 007B, 007B TCh, technologia chemiczna 007B, technologia chemiczna 007B	5
123	008B	Sala 008B	STAFF	14	1963	315	20	2083	451	118	TCh 008B, 008B TCh, technologia chemiczna 008B, technologia chemiczna 008B	5
124	009B	Sala 009B	STAFF	14	2065	315	20	2083	451	118	TCh 009B, 009B TCh, technologia chemiczna 009B, technologia chemiczna 009B	5
125	010B	Sala 010B	STAFF	14	2169	315	20	2147	451	118	TCh 010B, 010B TCh, technologia chemiczna 010B, technologia chemiczna 010B	5
126	011B	Sala 011B	STAFF	14	1311	315	40	2361	451	118	TCh 011B, 011B TCh, technologia chemiczna 011B, technologia chemiczna 011B	5
127	012B	Sala 012B	STAFF	14	2371	597	20	2355	527	118	TCh 012B, 012B TCh, technologia chemiczna 012B, technologia chemiczna 012B	5
128	013B	Sala 013B	STAFF	14	2229	597	40	2147	527	118	TCh 013B, 013B TCh, technologia chemiczna 013B, technologia chemiczna 013B	5
129	014B	Sala 014B	STAFF	14	1987	597	50	1943	527	118	TCh 014B, 014B TCh, technologia chemiczna 014B, technologia chemiczna 014B	5
130	015B	Sala 015B	STAFF	14	1861	597	20	1881	527	118	TCh 015B, 015B TCh, technologia chemiczna 015B, technologia chemiczna 015B	5
131	016B	Sala 016B	STAFF	14	1755	597	20	1737	527	118	TCh 016B, 016B TCh, technologia chemiczna 016B, technologia chemiczna 016B	5
132	017B	Sala 017B	STAFF	14	1655	597	20	1669	527	118	TCh 017B, 017B TCh, technologia chemiczna 017B, technologia chemiczna 017B	5
133	018B	Sala 018B	STAFF	14	1541	597	20	1541	527	118	TCh 018B, 018B TCh, technologia chemiczna 018B, technologia chemiczna 018B	5
134	019B	Sala 019B	LIBRARY	14	1395	597	40	1343	527	118	TCh 019B, 019B TCh, technologia chemiczna 019B, technologia chemiczna 019B	5
135		toaleta damska	RESTROOM	14	1229	1919	20	1183	1846	109	toaleta damska, wc damskie, ³azienka damska	5
136		toaleta mêska	RESTROOM	14	1235	1837	20	1163	1845	109	toaleta mêska, wc mêskie, ³azienka mêska	5
137		toaleta damska	RESTROOM	14	795	593	20	897	669	114	toaleta damska, wc damskie, ³azienka damska	5
138		toaleta mêska	RESTROOM	14	1029	589	20	897	669	114	toaleta mêska, wc mêskie, ³azienka mêska	5
139		toaleta dla niepe³nosprawnych	RESTROOM	14	913	577	20	897	669	114	toaleta dla niepe³nosprawnych, wc dla niepe³nosprawnych, ³azienka dla niepe³nosprawnych	5
140		Hala technologiczna	LECTURE	14	1759	1179	200	1423	1233	112	TCh hala techniczna, hala techniczna TCh, technologia chemiczna hala techniczna, hala techniczna technologia chemiczna	5
141	101A	Sala 101A	LABORATORY	15	737	1806	40	737	1886	123	TCh 101A, 101A TCh, technologia chemiczna 101A, 101A technologia chemiczna	5
142	102A	Sala 102A	LABORATORY	15	621	1806	40	621	1886	123	TCh 102A, 102A TCh, technologia chemiczna 102A, 102A technologia chemiczna	5
143	103A	Sala 103A	LABORATORY	15	525	1806	40	540	1886	123	TCh 103A, 103A TCh, technologia chemiczna 103A, 103A technologia chemiczna	5
144	104A	Sala 104A	LABORATORY	15	413	1806	40	397	1886	123	TCh 104A, 104A TCh, technologia chemiczna 104A, 104A technologia chemiczna	5
145	105A	Sala 105A	LABORATORY	15	269	1806	50	337	1886	123	TCh 105A, 105A TCh, technologia chemiczna 105A, 105A technologia chemiczna	5
146	106A	Sala 106A	LABORATORY	15	249	1938	30	305	1902	123	TCh 106A, 106A TCh, technologia chemiczna 106A, 106A technologia chemiczna	5
147	107A	Sala 107A	LABORATORY	15	361	2146	100	377	1990	123	TCh 107A, 107A TCh, technologia chemiczna 107A, 107A technologia chemiczna	5
148	108A	Sala 108A	LABORATORY	15	717	2150	70	801	2018	123	TCh 108A, 108A TCh, technologia chemiczna 108A, 108A technologia chemiczna	5
149	109A	Sala 109A	LABORATORY	15	1052	2142	100	1065	2018	119	TCh 109A, 109A TCh, technologia chemiczna 109A, 109A technologia chemiczna	5
150	110A	Sala 110A	LABORATORY	15	1325	2114	80	1405	1970	122	TCh 110A, 110A TCh, technologia chemiczna 110A, 110A technologia chemiczna	5
151	111A	Sala 111A	LABORATORY	15	1781	2114	80	1845	1970	122	TCh 111A, 111A TCh, technologia chemiczna 111A, 111A technologia chemiczna	5
152	112A	Sala 112A	LABORATORY	15	1941	2114	20	1845	1970	122	TCh 112A, 112A TCh, technologia chemiczna 112A, 112A technologia chemiczna	5
153	113A	Sala 113A	LABORATORY	15	2109	2114	80	2065	1970	122	TCh 113A, 113A TCh, technologia chemiczna 113A, 113A technologia chemiczna	5
154	114A	Sala 114A	LABORATORY	15	2317	2114	80	2281	1970	122	TCh 114A, 114A TCh, technologia chemiczna 114A, 114A technologia chemiczna	5
155	115A	Sala 115A	LABORATORY	15	2473	2114	80	2493	1970	122	TCh 115A, 115A TCh, technologia chemiczna 115A, 115A technologia chemiczna	5
156	116A	Sala 116A	LABORATORY	15	2593	2170	20	2541	2130	122	TCh 116A, 116A TCh, technologia chemiczna 116A, 116A technologia chemiczna	5
157	117A	Sala 117A	LABORATORY	15	2625	2058	20	2569	2054	122	TCh 117A, 117A TCh, technologia chemiczna 117A, 117A technologia chemiczna	5
158	118A	Sala 118A	LABORATORY	15	2501	1806	20	2479	1886	122	TCh 118A, 118A TCh, technologia chemiczna 118A, 118A technologia chemiczna	5
159	119A	Sala 119A	LABORATORY	15	2373	1806	20	2361	1886	122	TCh 119A, 119A TCh, technologia chemiczna 119A, 119A technologia chemiczna	5
160	120A	Sala 120A	LABORATORY	15	2269	1806	20	2285	1886	122	TCh 120A, 120A TCh, technologia chemiczna 120A, 120A technologia chemiczna	5
161	121A	Sala 121A	LABORATORY	15	2157	1806	20	2145	1886	122	TCh 121A, 121A TCh, technologia chemiczna 121A, 121A technologia chemiczna	5
162	122A	Sala 122A	LABORATORY	15	2045	1806	20	2061	1886	122	TCh 122A, 122A TCh, technologia chemiczna 122A, 122A technologia chemiczna	5
163	123A	Sala 123A	LABORATORY	15	1933	1806	20	1929	1886	122	TCh 123A, 123A TCh, technologia chemiczna 123A, 123A technologia chemiczna	5
164	124A	Sala 124A	LABORATORY	15	1837	1806	20	1845	1886	122	TCh 124A, 124A TCh, technologia chemiczna 124A, 124A technologia chemiczna	5
165	125A	Sala 125A	LABORATORY	15	1741	1806	20	1737	1886	122	TCh 125A, 125A TCh, technologia chemiczna 125A, 125A technologia chemiczna	5
166	T101	Sala T101	LABORATORY	15	1577	1806	40	1665	1886	122	TCh T101, T101 TCh, technologia chemiczna T101, T101 technologia chemiczna	5
167	T102	Sala T102	LABORATORY	15	1573	2114	80	1405	1970	122	TCh T102, T102 TCh, technologia chemiczna T102, T102 technologia chemiczna	5
168	101C	Sala 101C	LECTURE	15	897	1358	50	1069	1374	125	TCh 101C, 101C TCh, technologia chemiczna 101C, 101C technologia chemiczna	5
169	102C	Sala 102C	LECTURE	15	877	1046	60	1089	1078	125	TCh 102C, 102C TCh, technologia chemiczna 102C, 102C technologia chemiczna	5
170	103C	Sala 103C	LECTURE	15	1085	1542	40	1045	1610	119	TCh 103C, 103C TCh, technologia chemiczna 103C, 103C technologia chemiczna	5
171	104C	Sala 104C	LECTURE	15	837	1582	40	937	1626	119	TCh 104C, 104C TCh, technologia chemiczna 104C, 104C technologia chemiczna	5
172	105C	Sala 105C	LECTURE	15	925	818	40	877	766	126	TCh 105C, 105C TCh, technologia chemiczna 105C, 105C technologia chemiczna	5
173	106C	Sala 106C	LECTURE	15	737	850	40	765	766	126	TCh 106C, 106C TCh, technologia chemiczna 106C, 106C technologia chemiczna	5
174	101B	Sala 101B	LABORATORY	15	501	596	70	605	526	128	TCh 101B, 101B TCh, technologia chemiczna 101B, 101B technologia chemiczna	5
175	102B	Sala 102B	LABORATORY	15	621	274	40	613	418	128	TCh 102B, 102B TCh, technologia chemiczna 102B, 102B technologia chemiczna	5
176	103B	Sala 103B	LABORATORY	15	849	274	80	801	418	128	TCh 103B, 103B TCh, technologia chemiczna 103B, 103B technologia chemiczna	5
177	104B	Sala 104B	LABORATORY	15	1109	274	80	1205	418	128	TCh 104B, 104B TCh, technologia chemiczna 104B, 104B technologia chemiczna	5
178	105B	Sala 105B	LABORATORY	15	1321	274	80	1417	418	129	TCh 105B, 105B TCh, technologia chemiczna 105B, 105B technologia chemiczna	5
179	106B	Sala 106B	LABORATORY	15	1569	274	80	1637	418	129	TCh 106B, 106B TCh, technologia chemiczna 106B, 106B technologia chemiczna	5
180	107B	Sala 107B	LABORATORY	15	1725	274	20	1705	418	129	TCh 107B, 107B TCh, technologia chemiczna 107B, 107B technologia chemiczna	5
181	108B	Sala 108B	LABORATORY	15	1833	274	20	1853	418	129	TCh 108B, 108B TCh, technologia chemiczna 108B, 108B technologia chemiczna	5
182	109B	Sala 109B	LABORATORY	15	1989	274	60	1925	418	129	TCh 109B, 109B TCh, technologia chemiczna 109B, 109B technologia chemiczna	5
183	110B	Sala 110B	LABORATORY	15	2209	274	60	2145	418	129	TCh 110B, 110B TCh, technologia chemiczna 110B, 110B technologia chemiczna	5
184	111B	Sala 111B	LABORATORY	15	241	274	60	2361	418	129	TCh 111B, 111B TCh, technologia chemiczna 111B, 111B technologia chemiczna	5
185	112B	Sala 112B	LABORATORY	15	2357	594	20	2357	526	129	TCh 112B, 112B TCh, technologia chemiczna 112B, 112B technologia chemiczna	5
186	113B	Sala 113B	LABORATORY	15	2257	594	20	2293	526	129	TCh 113B, 113B TCh, technologia chemiczna 113B, 113B technologia chemiczna	5
187	114B	Sala 114B	LABORATORY	15	2165	594	20	2145	526	129	TCh 114B, 114B TCh, technologia chemiczna 114B, 114B technologia chemiczna	5
188	115B	Sala 115B	LABORATORY	15	2057	594	20	2069	526	129	TCh 115B, 115B TCh, technologia chemiczna 115B, 115B technologia chemiczna	5
189	116B	Sala 116B	LABORATORY	15	1941	594	20	1925	526	129	TCh 116B, 116B TCh, technologia chemiczna 116B, 116B technologia chemiczna	5
190	117B	Sala 117B	LABORATORY	15	1821	594	20	1845	526	129	TCh 117B, 117B TCh, technologia chemiczna 117B, 117B technologia chemiczna	5
191	118B	Sala 118B	LABORATORY	15	1721	594	20	1705	526	129	TCh 118B, 118B TCh, technologia chemiczna 118B, 118B technologia chemiczna	5
192	119B	Sala 119B	LABORATORY	15	1617	594	20	1629	526	129	TCh 119B, 119B TCh, technologia chemiczna 119B, 119B technologia chemiczna	5
193	120B	Sala 120B	LABORATORY	15	1501	594	20	1481	526	129	TCh 120B, 120B TCh, technologia chemiczna 120B, 120B technologia chemiczna	5
194	T103	Sala T103	LABORATORY	15	1321	594	60	1273	526	129	TCh T103, T103 TCh, technologia chemiczna T103, T103 technologia chemiczna	5
195		toaleta damska	RESTROOM	15	1176	1986	20	1093	1904	121	toaleta damska, wc damskie, ³azienka damska	5
196		toaleta mêska	RESTROOM	15	1171	1901	20	1093	1904	121	toaleta mêska, wc mêskie, ³azienka mêska	5
197		toaleta damska	RESTROOM	15	717	570	20	809	622	126	toaleta damska, wc damskie, ³azienka damska	5
198		toaleta mêska	RESTROOM	15	817	570	20	809	622	126	toaleta mêska, wc mêskie, ³azienka mêska	5
199		toaleta dla niepe³nosprawnych	RESTROOM	15	933	590	20	809	622	126	toaleta dla niepe³nosprawnych, wc dla niepe³nosprawnych, ³azienka dla niepe³nosprawnych	5
200	201A	Sala 201A	LABORATORY	16	753	1816	50	753	1888	137	TCh 201A, 201A TCh, technologia chemiczna 201A, 201A technologia chemiczna	5
201	202A	Sala 202A	LABORATORY	16	641	1816	40	641	1888	137	TCh 202A, 202A TCh, technologia chemiczna 202A, 202A technologia chemiczna	5
202	203A	Sala 203A	LABORATORY	16	541	1816	40	557	1888	137	TCh 203A, 203A TCh, technologia chemiczna 203A, 203A technologia chemiczna	5
203	204A	Sala 204A	LABORATORY	16	433	1816	40	409	1888	137	TCh 204A, 204A TCh, technologia chemiczna 204A, 204A technologia chemiczna	5
204	205A	Sala 205A	LABORATORY	16	281	1816	50	349	1888	137	TCh 205A, 205A TCh, technologia chemiczna 205A, 205A technologia chemiczna	5
205	206A	Sala 206A	LABORATORY	16	253	1936	30	329	1912	137	TCh 206A, 206A TCh, technologia chemiczna 206A, 206A technologia chemiczna	5
206	207A	Sala 207A	LABORATORY	16	277	2140	70	345	1904	137	TCh 207A, 207A TCh, technologia chemiczna 207A, 207A technologia chemiczna	5
207	208A	Sala 208A	LABORATORY	16	485	2140	70	389	2000	137	TCh 208A, 208A TCh, technologia chemiczna 208A, 208A technologia chemiczna	5
208	209A	Sala 209A	LABORATORY	16	737	2166	70	841	2016	137	TCh 209A, 209A TCh, technologia chemiczna 209A, 209A technologia chemiczna	5
209	210A	Sala 210A	LABORATORY	16	965	2166	40	997	2016	130	TCh 210A, 210A TCh, technologia chemiczna 210A, 210A technologia chemiczna	5
210	211A	Sala 211A	LABORATORY	16	1157	2166	70	1085	2016	130	TCh 211A, 211A TCh, technologia chemiczna 211A, 211A technologia chemiczna	5
211	212A	Sala 212A	LABORATORY	16	1365	2120	60	1613	1970	134	TCh 212A, 212A TCh, technologia chemiczna 212A, 212A technologia chemiczna	5
212	213A	Sala 213A	LABORATORY	16	1821	2120	70	1745	1970	134	TCh 213A, 213A TCh, technologia chemiczna 213A, 213A technologia chemiczna	5
213	214A	Sala 214A	LABORATORY	16	2217	2120	80	2105	1970	134	TCh 214A, 214A TCh, technologia chemiczna 214A, 214A technologia chemiczna	5
214	215A	Sala 215A	LABORATORY	16	2465	2120	60	2545	1970	134	TCh 215A, 215A TCh, technologia chemiczna 215A, 215A technologia chemiczna	5
215	216A	Sala 216A	LABORATORY	16	2653	2152	40	2601	2096	138	TCh 216A, 216A TCh, technologia chemiczna 216A, 216A technologia chemiczna	5
216	217A	Sala 217A	LABORATORY	16	2685	2044	20	2629	2056	138	TCh 217A, 217A TCh, technologia chemiczna 217A, 217A technologia chemiczna	5
217	218A	Sala 218A	LABORATORY	16	2561	1800	30	2545	1880	134	TCh 218A, 218A TCh, technologia chemiczna 218A, 218A technologia chemiczna	5
218	219A	Sala 219A	LABORATORY	16	1433	1800	30	2417	1880	134	TCh 219A, 219A TCh, technologia chemiczna 219A, 219A technologia chemiczna	5
219	220A	Sala 220A	LABORATORY	16	2325	1800	30	2341	1880	134	TCh 220A, 220A TCh, technologia chemiczna 220A, 220A technologia chemiczna	5
220	221A	Sala 221A	LABORATORY	16	2221	1800	30	2193	1880	134	TCh 221A, 221A TCh, technologia chemiczna 221A, 221A technologia chemiczna	5
221	222A	Sala 222A	LABORATORY	16	2081	1800	30	2117	1880	134	TCh 222A, 222A TCh, technologia chemiczna 222A, 222A technologia chemiczna	5
222	223A	Sala 223A	LABORATORY	16	1973	1800	30	1973	1880	134	TCh 223A, 223A TCh, technologia chemiczna 223A, 223A technologia chemiczna	5
223	224A	Sala 224A	LABORATORY	16	1869	1800	30	1893	1880	134	TCh 224A, 224A TCh, technologia chemiczna 224A, 224A technologia chemiczna	5
224	T201	Sala T201	LABORATORY	16	1613	2120	60	1613	1970	134	TCh T201, T201 TCh, technologia chemiczna T201, T201 technologia chemiczna	5
225	T202	Sala T202	LABORATORY	16	1773	1800	20	1757	1880	134	TCh T202, T202 TCh, technologia chemiczna T202, T202 technologia chemiczna	5
226	T203	Sala T203	LABORATORY	16	1613	1800	40	1697	1880	134	TCh T203, T203 TCh, technologia chemiczna T203, T203 technologia chemiczna	5
227	201B	Sala 201B	LABORATORY	16	513	561	70	621	489	139	TCh 201B, 201B TCh, technologia chemiczna 201B, 201B technologia chemiczna	5
228	202B	Sala 202B	LABORATORY	16	601	189	20	629	389	139	TCh 202B, 202B TCh, technologia chemiczna 202B, 202B technologia chemiczna	5
229	205B	Sala 205B	LABORATORY	16	857	270	30	773	390	139	TCh 205B, 205B TCh, technologia chemiczna 205B, 205B technologia chemiczna	5
230	206B	Sala 206B	LABORATORY	16	989	270	30	989	390	139	TCh 206B, 206B TCh, technologia chemiczna 206B, 206B technologia chemiczna	5
231	207B	Sala 207B	LABORATORY	16	1145	270	70	1145	390	139	TCh 207B, 207B TCh, technologia chemiczna 207B, 207B technologia chemiczna	5
232	208B	Sala 208B	LABORATORY	16	1361	270	70	1449	390	140	TCh 208B, 208B TCh, technologia chemiczna 208B, 208B technologia chemiczna	5
233	209B	Sala 209B	LABORATORY	16	1609	270	70	1669	390	140	TCh 209B, 209B TCh, technologia chemiczna 209B, 209B technologia chemiczna	5
234	210B	Sala 210B	LABORATORY	16	1825	270	70	1897	390	140	TCh 210B, 210B TCh, technologia chemiczna 210B, 210B technologia chemiczna	5
235	211B	Sala 211B	LABORATORY	16	2033	270	70	2109	390	140	TCh 211B, 211B TCh, technologia chemiczna 211B, 211B technologia chemiczna	5
236	212B	Sala 212B	LABORATORY	16	2329	270	100	2197	390	140	TCh 212B, 212B TCh, technologia chemiczna 212B, 212B technologia chemiczna	5
237	213B	Sala 213B	LABORATORY	16	2421	560	40	2421	490	140	TCh 213B, 213B TCh, technologia chemiczna 213B, 213B technologia chemiczna	5
238	214B	Sala 214B	LABORATORY	16	2317	560	20	2337	490	140	TCh 214B, 214B TCh, technologia chemiczna 214B, 214B technologia chemiczna	5
239	215B	Sala 215B	LABORATORY	16	2200	560	20	2190	490	140	TCh 215B, 215B TCh, technologia chemiczna 215B, 215B technologia chemiczna	5
240	216B	Sala 216B	LABORATORY	16	2105	560	20	2117	490	140	TCh 216B, 216B TCh, technologia chemiczna 216B, 216B technologia chemiczna	5
241	217B	Sala 217B	LABORATORY	16	1989	560	20	1969	490	140	TCh 217B, 217B TCh, technologia chemiczna 217B, 217B technologia chemiczna	5
242	218B	Sala 218B	LABORATORY	16	1877	560	20	1851	490	140	TCh 218B, 218B TCh, technologia chemiczna 218B, 218B technologia chemiczna	5
243	219B	Sala 219B	LABORATORY	16	1773	560	20	1745	490	140	TCh 219B, 219B TCh, technologia chemiczna 219B, 219B technologia chemiczna	5
244	220B	Sala 220B	LABORATORY	16	1657	560	20	1690	490	140	TCh 220B, 220B TCh, technologia chemiczna 220B, 220B technologia chemiczna	5
245	T205	Sala T205	LABORATORY	16	1369	560	20	1313	490	140	TCh T205, T205 TCh, technologia chemiczna T205, T205 technologia chemiczna	5
246	T206	Sala T206	LABORATORY	16	1537	560	20	1525	490	140	TCh T206, T206 TCh, technologia chemiczna T206, T206 technologia chemiczna	5
247	201C	Sala 201C	LECTURE	16	937	1440	90	957	1608	132	TCh 201C, 201C TCh, technologia chemiczna 201C, 201C technologia chemiczna	5
